feature_name,importance,feature_category
amount,0.19387802653123548,transaction/baseline
accountAgeDays,0.18894456979050894,transaction/baseline
logAmount,0.1873620303228194,transaction/baseline
highVelocityFlag,0.12190186992444274,transaction/baseline
velocity1h,0.08267069412721424,transaction/baseline
isNewAccountFlag,0.05645287079359853,transaction/baseline
failedTxCount24h,0.0530085289804358,transaction/baseline
sharedInfrastructureScore,0.03198015393737521,relationship/graph
accountsPerPaymentMethod,0.01955235450218601,relationship/graph
sharedPaymentAccountCount,0.019380708826047408,relationship/graph
accountsPerDevice,0.0106652639042235,relationship/graph
uniquePaymentMethodsPerUser,0.006961528490054868,relationship/graph
deviceClusterSize,0.004839599235555034,relationship/graph
ringConnectivityScore,0.004004101248022224,relationship/graph
accountsPerIp,0.003647494818559791,relationship/graph
sharedDeviceAccountCount,0.0029994803844519834,transaction/baseline
paymentMethodDegree,0.0029406634166389486,relationship/graph
ipClusterSize,0.001804256158702277,relationship/graph
paymentClusterSize,0.0016130722248349969,relationship/graph
sharedIpAccountCount,0.0012511287628110973,transaction/baseline
deviceDegree,0.0009857829074336444,relationship/graph
ipDegree,0.00076378225390729,relationship/graph
uniqueIpsPerUser,0.0007475966414942751,relationship/graph
uniqueDevicesPerUser,0.0006230641821390853,relationship/graph
merchantDegree,0.00036121989534346015,relationship/graph
relationshipDensity,0.00025120898465482745,relationship/graph
multiAccountPaymentFlag,0.00023100179459796587,relationship/graph
recentPaymentReuseCount,0.00015875421293409274,relationship/graph
multiAccountIpFlag,1.2572123578945927e-05,relationship/graph
multiAccountDeviceFlag,6.620624197745862e-06,relationship/graph
transactionVelocityOnSharedIp,0.0,relationship/graph
transactionVelocityOnSharedDevice,0.0,relationship/graph
recentSharedDeviceCount,0.0,relationship/graph
recentSharedIpCount,0.0,relationship/graph
