transactionId,isFraud,amount,logAmount,accountAgeDays,velocity1h,failedTxCount24h,sharedDeviceAccountCount,sharedIpAccountCount,isNewAccountFlag,highVelocityFlag
tx_legit_001142,0,883.15,6.7846,182,2,0,1,2,0,0
tx_legit_001172,0,555.95,6.3225,492,1,0,1,2,0,0
tx_legit_006450,0,512.23,6.2407,504,1,0,1,2,0,0
tx_legit_006878,0,533.55,6.2814,812,1,0,1,1,0,0
tx_legit_005653,0,1375.69,7.2274,716,1,2,1,1,0,0
tx_legit_001088,0,193.13,5.2685,263,1,0,1,2,0,0
tx_legit_000351,0,217.77,5.388,662,1,0,1,1,0,0
tx_legit_001813,0,506.45,6.2294,276,2,0,1,2,0,0
tx_legit_002753,0,2026.46,7.6145,768,1,0,1,2,0,0
tx_legit_002725,0,534.18,6.2826,316,2,0,1,1,0,0
tx_legit_007019,0,93.65,4.5502,730,1,0,1,3,0,0
tx_legit_003469,0,428.16,6.0618,495,1,0,1,1,0,0
tx_legit_005147,0,600.96,6.4002,458,2,0,1,1,0,0
tx_legit_007387,0,529.95,6.2747,232,1,0,1,1,0,0
tx_legit_002852,0,619.95,6.4313,417,1,0,1,2,0,0
tx_legit_000433,0,162.94,5.0995,222,1,0,2,1,0,0
tx_legit_001583,0,342.75,5.8399,313,1,1,1,1,0,0
tx_legit_005536,0,526.92,6.2689,451,1,0,1,1,0,0
tx_legit_006123,0,429.78,6.0656,356,1,0,1,3,0,0
tx_legit_006079,0,1539.37,7.3398,628,1,0,1,3,0,0
tx_legit_007923,0,1433.11,7.2683,110,2,1,1,1,0,0
tx_legit_006084,0,587.07,6.3768,520,1,0,2,1,0,0
tx_legit_003506,0,84.06,4.4434,523,1,2,2,1,0,0
tx_legit_004126,0,240.92,5.4886,216,3,1,1,3,0,0
tx_legit_001688,0,293.39,5.6849,621,1,0,1,1,0,0
tx_legit_005144,0,574.15,6.3546,185,2,0,2,1,0,0
tx_legit_000373,0,388.36,5.9645,565,1,0,2,2,0,0
tx_legit_003637,0,500.58,6.2178,249,1,0,1,2,0,0
tx_legit_002581,0,261.01,5.5684,702,1,0,1,1,0,0
tx_legit_006184,0,114.44,4.7488,738,1,0,1,1,0,0
tx_legit_004933,0,781.92,6.663,160,1,0,1,2,0,0
tx_legit_008229,0,383.97,5.9532,542,1,0,1,1,0,0
tx_legit_003581,0,128.43,4.8631,325,3,0,1,1,0,0
tx_legit_000535,0,276.75,5.6267,623,4,0,1,3,0,0
tx_legit_001114,0,976.72,6.8852,538,1,2,1,4,0,0
tx_legit_008597,0,306.27,5.7277,529,1,0,1,1,0,0
tx_legit_005780,0,149.78,5.0158,858,1,0,1,3,0,0
tx_legit_004479,0,298.71,5.7028,845,3,0,1,3,0,0
tx_legit_001545,0,338.72,5.8281,698,1,0,1,1,0,0
tx_legit_006005,0,292.87,5.6831,474,1,0,1,2,0,0
tx_legit_009156,0,585.88,6.3748,243,1,0,1,1,0,0
tx_legit_007023,0,104.31,4.6569,105,1,0,1,2,0,0
tx_legit_007374,0,988.93,6.8976,499,1,0,1,1,0,0
tx_legit_008293,0,342.07,5.8379,875,1,0,1,1,0,0
tx_legit_006689,0,330.72,5.8043,113,1,0,1,3,0,0
tx_legit_005046,0,535.38,6.2848,131,1,0,2,5,0,0
tx_legit_001691,0,567.47,6.3429,353,3,0,1,1,0,0
tx_legit_000209,0,677.82,6.5204,398,1,0,1,1,0,0
tx_legit_008075,0,1251.05,7.1325,292,1,0,1,2,0,0
tx_legit_007450,0,674.67,6.5157,221,1,0,1,1,0,0
tx_legit_003441,0,275.11,5.6208,678,1,0,1,1,0,0
tx_legit_002873,0,497.32,6.2112,592,1,0,1,1,0,0
tx_legit_008837,0,217.24,5.3856,464,1,0,1,3,0,0
tx_legit_008829,0,232.39,5.4527,318,2,2,1,2,0,0
tx_legit_007943,0,638.66,6.4609,263,1,0,1,1,0,0
tx_legit_007631,0,323.66,5.7828,421,1,0,1,1,0,0
tx_legit_001782,0,490.53,6.1975,135,2,0,1,1,0,0
tx_legit_006219,0,204.84,5.3271,209,2,0,1,1,0,0
tx_legit_008117,0,2270.5,7.7282,521,1,0,1,1,0,0
tx_legit_001553,0,1104.73,7.0083,757,1,0,1,1,0,0
tx_legit_003773,0,1393.33,7.2402,866,1,1,1,1,0,0
tx_legit_004691,0,1254.27,7.1351,124,1,0,1,1,0,0
tx_legit_004805,0,815.89,6.7055,487,1,0,1,2,0,0
tx_legit_004106,0,372.45,5.9228,548,3,0,1,1,0,0
tx_legit_007648,0,318.57,5.767,513,1,0,1,3,0,0
