transactionId,isFraud,amount,logAmount,accountAgeDays,velocity1h,failedTxCount24h,sharedDeviceAccountCount,sharedIpAccountCount,isNewAccountFlag,highVelocityFlag,sharedPaymentAccountCount,deviceDegree,ipDegree,paymentMethodDegree,merchantDegree,uniqueDevicesPerUser,uniqueIpsPerUser,uniquePaymentMethodsPerUser,accountsPerDevice,accountsPerIp,accountsPerPaymentMethod,recentSharedDeviceCount,recentSharedIpCount,recentPaymentReuseCount,transactionVelocityOnSharedDevice,transactionVelocityOnSharedIp,deviceClusterSize,ipClusterSize,paymentClusterSize,multiAccountDeviceFlag,multiAccountIpFlag,multiAccountPaymentFlag,sharedInfrastructureScore,relationshipDensity,ringConnectivityScore
tx_legit_001142,0,883.15,6.7846,182,2,0,1,1,0,0,1,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
tx_legit_001172,0,555.95,6.3225,492,1,0,1,1,0,0,1,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
tx_legit_006450,0,512.23,6.2407,504,1,0,1,1,0,0,1,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
tx_legit_006878,0,533.55,6.2814,812,1,0,1,1,0,0,1,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
tx_legit_005653,0,1375.69,7.2274,716,1,2,1,1,0,0,1,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
tx_legit_001088,0,193.13,5.2685,263,1,0,1,1,0,0,1,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
tx_legit_000351,0,217.77,5.388,662,1,0,1,1,0,0,1,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
tx_legit_001813,0,506.45,6.2294,276,2,0,1,1,0,0,1,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
tx_legit_002753,0,2026.46,7.6145,768,1,0,1,1,0,0,1,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
tx_legit_002725,0,534.18,6.2826,316,2,0,1,1,0,0,1,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
