transactionId,userId,merchantId,amount,currency,timestamp,deviceId,ipAddress,location,paymentMethodRef,accountAgeDays,velocity1h,failedTxCount24h,sharedDeviceAccountCount,sharedIpAccountCount,isFraud,fraudScenario
tx_legit_001142,usr_norm_0388,merch_razorpay_019,883.15,INR,2026-08-01T00:05:58+00:00,dev_fingerprint_1426,192.168.28.200,"Chennai, IN",pm_tok_synthetic_01672,182,2,0,1,2,0,NONE
tx_legit_001172,usr_norm_0692,merch_razorpay_011,555.95,INR,2026-08-01T00:09:17+00:00,dev_fingerprint_1097,192.168.138.176,"Mumbai, IN",pm_tok_synthetic_00850,492,1,0,1,2,0,NONE
tx_legit_006450,usr_norm_1830,merch_razorpay_033,512.23,INR,2026-08-01T00:10:04+00:00,dev_fingerprint_1195,192.168.246.196,"Pune, IN",pm_tok_synthetic_01863,504,1,0,1,2,0,NONE
tx_legit_006878,usr_norm_0424,merch_razorpay_049,533.55,INR,2026-08-01T00:10:34+00:00,dev_fingerprint_0152,192.168.36.12,"Delhi, IN",pm_tok_synthetic_00198,812,1,0,1,1,0,NONE
tx_legit_005653,usr_norm_0035,merch_razorpay_012,1375.69,INR,2026-08-01T00:11:44+00:00,dev_fingerprint_1150,192.168.152.69,"Hyderabad, IN",pm_tok_synthetic_01350,716,1,2,1,1,0,NONE
tx_legit_001088,usr_norm_0027,merch_razorpay_044,193.13,INR,2026-08-01T00:17:14+00:00,dev_fingerprint_0440,192.168.229.114,"Ahmedabad, IN",pm_tok_synthetic_01849,263,1,0,1,2,0,NONE
tx_legit_000351,usr_norm_0428,merch_razorpay_039,217.77,INR,2026-08-01T00:17:15+00:00,dev_fingerprint_0933,192.168.33.50,"Delhi, IN",pm_tok_synthetic_00374,662,1,0,1,1,0,NONE
tx_legit_001813,usr_norm_0453,merch_razorpay_026,506.45,INR,2026-08-01T00:22:37+00:00,dev_fingerprint_0612,192.168.55.139,"Kolkata, IN",pm_tok_synthetic_02309,276,2,0,1,2,0,NONE
tx_legit_002753,usr_norm_0026,merch_razorpay_030,2026.46,INR,2026-08-01T00:29:06+00:00,dev_fingerprint_1437,192.168.51.40,"Bengaluru, IN",pm_tok_synthetic_02258,768,1,0,1,2,0,NONE
tx_legit_002725,usr_norm_1225,merch_razorpay_035,534.18,INR,2026-08-01T00:29:40+00:00,dev_fingerprint_0374,192.168.99.49,"Pune, IN",pm_tok_synthetic_02093,316,2,0,1,1,0,NONE
tx_legit_007019,usr_norm_0448,merch_razorpay_044,93.65,INR,2026-08-01T00:32:00+00:00,dev_fingerprint_0555,10.0.253.82,"Mumbai, IN",pm_tok_synthetic_00304,730,1,0,1,3,0,NONE
tx_legit_003469,usr_norm_1113,merch_razorpay_001,428.16,INR,2026-08-01T00:37:07+00:00,dev_fingerprint_0739,192.168.55.131,"Kolkata, IN",pm_tok_synthetic_01923,495,1,0,1,1,0,NONE
tx_legit_005147,usr_norm_0796,merch_razorpay_003,600.96,INR,2026-08-01T00:41:03+00:00,dev_fingerprint_0792,192.168.137.98,"Mumbai, IN",pm_tok_synthetic_02140,458,2,0,1,1,0,NONE
tx_legit_007387,usr_norm_0082,merch_razorpay_005,529.95,INR,2026-08-01T00:46:52+00:00,dev_fingerprint_0210,192.168.167.96,"Pune, IN",pm_tok_synthetic_01048,232,1,0,1,1,0,NONE
tx_legit_002852,usr_norm_0751,merch_razorpay_024,619.95,INR,2026-08-01T00:47:14+00:00,dev_fingerprint_1694,10.0.11.143,"Delhi, IN",pm_tok_synthetic_00718,417,1,0,1,2,0,NONE
tx_legit_000433,usr_norm_0859,merch_razorpay_034,162.94,INR,2026-08-01T00:50:26+00:00,dev_fingerprint_1557,10.0.119.252,"Ahmedabad, IN",pm_tok_synthetic_01223,222,1,0,2,1,0,NONE
tx_legit_001583,usr_norm_1720,merch_razorpay_004,342.75,INR,2026-08-01T00:54:14+00:00,dev_fingerprint_0331,192.168.124.89,"Pune, IN",pm_tok_synthetic_00303,313,1,1,1,1,0,NONE
