feature_name,importance,feature_category
logAmount,0.24828158177651294,baseline
amount,0.24073728084041487,baseline
highVelocityFlag,0.08416715412102904,baseline
accountAgeDays,0.07212550787847716,baseline
velocity1h,0.055789768290749595,baseline
failedTxCount24h,0.03521388729890937,baseline
isNewAccountFlag,0.03359821855568213,baseline
accountsPerPaymentMethod,0.026215480200523736,graph
sharedPaymentAccountCount,0.025795659058048707,graph
deviceClusterSize,0.023991114422962315,graph
paymentMethodDegree,0.023743966033352472,graph
sharedDeviceAccountCount,0.014254056827277423,baseline
accountsPerIp,0.013461478843896393,graph
sharedInfrastructureScore,0.011807693578667901,graph
sharedIpAccountCount,0.011736449005827017,baseline
ipClusterSize,0.011061160334719291,graph
accountsPerDevice,0.010199676532888946,graph
ringConnectivityScore,0.009002791267378326,graph
deviceDegree,0.008768769577646862,graph
ipDegree,0.008730390621974435,graph
paymentClusterSize,0.007120797323574251,graph
uniqueIpsPerUser,0.006659273577615096,graph
merchantDegree,0.004834338271961375,graph
recentPaymentReuseCount,0.004769625875028887,graph
multiAccountPaymentFlag,0.0022134237488413387,graph
uniquePaymentMethodsPerUser,0.001767446343043514,graph
uniqueDevicesPerUser,0.0008878157404733488,graph
relationshipDensity,0.0007946163339088905,graph
multiAccountIpFlag,0.0007888467970364511,graph
multiAccountDeviceFlag,0.0007726168558856805,graph
recentSharedIpCount,0.00041154195952403523,graph
recentSharedDeviceCount,0.00015090414534501645,graph
transactionVelocityOnSharedIp,0.00011107260656463749,graph
transactionVelocityOnSharedDevice,3.5595354258519845e-05,graph
