transactionId,isFraud,amount,logAmount,accountAgeDays,velocity1h,failedTxCount24h,sharedDeviceAccountCount,sharedIpAccountCount,isNewAccountFlag,highVelocityFlag
tx_legit_013572,0,406.02,6.0089,956,2,0,1,16,0,0
tx_legit_003680,0,319.81,5.7708,59,2,0,1,2,0,0
tx_legit_005992,0,512.23,6.2407,578,1,0,2,1,0,0
tx_legit_010693,0,630.6,6.4483,611,2,0,1,1,0,0
tx_fraud_000028,1,8266.24,9.0201,5,8,2,13,3,1,1
tx_legit_005228,0,1375.69,7.2274,360,1,2,2,19,0,0
tx_fraud_000757,1,2232.8,7.7115,171,1,0,18,9,0,0
tx_legit_001620,0,323.92,5.7836,715,1,0,1,8,0,0
tx_fraud_000109,1,4331.06,8.3738,14,4,4,13,6,0,0
tx_legit_011386,0,1095.88,7.0002,310,1,0,1,2,0,0
tx_legit_006557,0,193.16,5.2687,449,1,0,4,2,0,0
tx_legit_001307,0,1212.23,7.101,715,1,0,1,1,0,0
tx_legit_002736,0,257.85,5.5562,172,1,0,2,20,0,0
tx_legit_000016,0,879.95,6.781,725,1,0,2,12,0,0
tx_legit_002163,0,253.37,5.5388,128,1,0,1,1,0,0
tx_legit_008285,0,1051.57,6.959,860,1,0,1,1,0,0
tx_legit_013268,0,320.32,5.7724,488,1,0,2,21,0,0
tx_legit_002023,0,468.94,6.1526,561,1,2,1,11,0,0
tx_legit_005874,0,251.77,5.5325,655,1,0,1,1,0,0
tx_legit_009119,0,703.72,6.5578,193,2,0,1,2,0,0
tx_fraud_000081,1,9748.44,9.185,14,4,1,18,6,0,0
tx_legit_010939,0,1237.38,7.1216,244,1,0,1,15,0,0
tx_legit_006263,0,457.4,6.1277,21,1,0,1,15,0,0
tx_legit_012164,0,301.66,5.7126,864,3,0,1,2,0,0
tx_legit_009678,0,560.23,6.3301,148,1,0,1,2,0,0
tx_legit_007312,0,866.57,6.7657,887,1,0,2,15,0,0
tx_legit_005391,0,591.14,6.3837,142,1,0,1,2,0,0
tx_legit_010609,0,320.84,5.7741,442,1,0,1,2,0,0
tx_legit_004741,0,574.15,6.3546,668,2,0,1,1,0,0
tx_fraud_000728,1,2452.11,7.8051,110,1,0,12,14,0,0
tx_legit_009344,0,163.4,5.1023,614,1,0,1,1,0,0
tx_legit_000284,0,628.02,6.4442,803,3,0,1,1,0,0
tx_fraud_000489,1,48010.86,10.7792,7,9,7,1,1,1,1
tx_legit_003668,0,940.04,6.847,421,1,1,1,1,0,0
tx_legit_003251,0,173.76,5.1634,768,3,0,1,1,0,0
tx_legit_009719,0,1265.04,7.1436,828,1,0,2,14,0,0
tx_legit_010995,0,562.76,6.3346,740,2,1,1,18,0,0
tx_legit_011475,0,442.67,6.0951,993,1,0,2,16,0,0
tx_legit_003263,0,81.9,4.4176,474,2,2,1,15,0,0
tx_legit_010430,0,721.62,6.5829,22,2,0,1,4,0,0
tx_legit_000033,0,648.55,6.4763,931,2,1,1,2,0,0
tx_fraud_000129,1,11641.76,9.3624,7,4,3,8,2,1,0
tx_legit_007528,0,208.4,5.3442,614,1,0,1,1,0,0
tx_legit_012306,0,938.76,6.8456,748,1,0,1,5,0,0
tx_fraud_000632,1,53283.96,10.8834,1,28,4,22,38,1,1
tx_legit_005562,0,292.87,5.6831,447,1,0,1,1,0,0
tx_legit_013693,0,829.84,6.7224,677,3,0,1,4,0,0
tx_legit_008578,0,585.88,6.3748,905,1,0,1,1,0,0
tx_fraud_001009,1,5856.79,8.6755,74,2,1,8,11,0,0
tx_legit_004559,0,237.12,5.4728,844,2,0,1,3,0,0
tx_legit_009098,0,534.14,6.2825,412,1,0,1,1,0,0
tx_legit_002528,0,237.08,5.4726,505,2,0,1,1,0,0
tx_legit_001294,0,167.74,5.1284,556,1,0,1,4,0,0
tx_legit_006665,0,481.9,6.1798,967,1,0,1,1,0,0
tx_legit_001412,0,524.9,6.2651,970,1,0,1,1,0,0
tx_legit_009910,0,227.72,5.4325,529,2,0,6,2,0,0
tx_legit_007216,0,399.42,5.9925,324,1,0,2,4,0,0
tx_fraud_000672,1,1020.93,6.9294,255,1,0,30,9,0,0
tx_legit_005925,0,616.21,6.4252,451,4,0,1,1,0,0
tx_legit_005554,0,782.55,6.6638,350,1,0,6,1,0,0
tx_legit_000581,0,1784.95,7.4877,148,2,0,1,1,0,0
tx_legit_000617,0,420.88,6.0447,937,2,0,2,13,0,0
tx_legit_012585,0,266.59,5.5895,398,2,0,1,1,0,0
tx_legit_013752,0,356.32,5.8786,958,1,0,1,1,0,0
tx_legit_007488,0,359.25,5.8868,120,1,0,1,4,0,0
tx_legit_012707,0,406.63,6.0104,239,1,0,1,2,0,0
tx_legit_001475,0,195.99,5.2832,716,1,1,1,2,0,0
tx_legit_008042,0,476.23,6.168,94,1,0,1,1,0,0
tx_legit_010920,0,282.51,5.6472,296,1,0,1,1,0,0
tx_legit_009827,0,201.47,5.3106,400,1,0,2,9,0,0
tx_legit_009990,0,717.71,6.5775,826,4,1,1,2,0,0
tx_legit_000671,0,428.75,6.0632,762,1,1,1,1,0,0
tx_legit_006499,0,454.71,6.1219,370,1,0,2,16,0,0
tx_legit_009779,0,426.39,6.0577,571,1,0,1,1,0,0
tx_legit_012014,0,750.02,6.6214,785,1,0,1,1,0,0
tx_legit_006324,0,834.19,6.7277,517,1,0,1,1,0,0
tx_legit_010007,0,688.97,6.5366,199,1,0,1,2,0,0
tx_legit_012801,0,701.26,6.5543,693,1,0,4,1,0,0
tx_legit_008940,0,506.55,6.2296,196,2,0,1,2,0,0
tx_legit_001604,0,791.01,6.6746,478,1,0,1,1,0,0
tx_legit_013484,0,560.86,6.3313,369,1,0,2,1,0,0
tx_fraud_000178,1,4521.37,8.4168,7,19,3,2,14,1,1
tx_legit_003564,0,551.7,6.3148,220,1,0,3,3,0,0
tx_legit_012472,0,625.92,6.4408,70,1,0,1,1,0,0
tx_legit_001946,0,540.08,6.2936,900,2,0,3,3,0,0
tx_legit_008504,0,391.16,5.9717,160,1,0,2,1,0,0
tx_legit_003923,0,163.26,5.1015,746,2,0,1,1,0,0
tx_legit_008807,0,714.5,6.573,614,1,0,1,2,0,0
tx_fraud_000239,1,8727.17,9.0743,20,11,3,1,32,0,1
tx_fraud_000551,1,54706.57,10.9098,0,16,10,15,25,1,1
tx_legit_007997,0,261.03,5.5685,436,1,0,1,3,0,0
