transactionId,isFraud,amount,logAmount,accountAgeDays,velocity1h,failedTxCount24h,sharedDeviceAccountCount,sharedIpAccountCount,isNewAccountFlag,highVelocityFlag,sharedPaymentAccountCount,deviceDegree,ipDegree,paymentMethodDegree,merchantDegree,uniqueDevicesPerUser,uniqueIpsPerUser,uniquePaymentMethodsPerUser,accountsPerDevice,accountsPerIp,accountsPerPaymentMethod,recentSharedDeviceCount,recentSharedIpCount,recentPaymentReuseCount,transactionVelocityOnSharedDevice,transactionVelocityOnSharedIp,deviceClusterSize,ipClusterSize,paymentClusterSize,multiAccountDeviceFlag,multiAccountIpFlag,multiAccountPaymentFlag,sharedInfrastructureScore,relationshipDensity,ringConnectivityScore
tx_legit_013572,0,406.02,6.0089,956,2,0,1,1,0,0,1,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
tx_legit_003680,0,319.81,5.7708,59,2,0,1,1,0,0,1,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
tx_legit_005992,0,512.23,6.2407,578,1,0,1,1,0,0,1,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
tx_legit_010693,0,630.6,6.4483,611,2,0,1,1,0,0,1,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
tx_fraud_000028,1,8266.24,9.0201,5,8,2,1,1,1,1,1,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
tx_legit_005228,0,1375.69,7.2274,360,1,2,1,1,0,0,1,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
tx_fraud_000757,1,2232.8,7.7115,171,1,0,1,1,0,0,1,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
tx_legit_001620,0,323.92,5.7836,715,1,0,1,1,0,0,1,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
tx_fraud_000109,1,4331.06,8.3738,14,4,4,1,1,0,0,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
tx_legit_011386,0,1095.88,7.0002,310,1,0,1,1,0,0,1,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
tx_legit_006557,0,193.16,5.2687,449,1,0,1,1,0,0,1,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
tx_legit_001307,0,1212.23,7.101,715,1,0,1,1,0,0,1,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
tx_legit_002736,0,257.85,5.5562,172,1,0,1,2,0,0,1,2,2,2,0,1,1,1,1,2,1,1,2,1,1,2,1,5,1,0,1,0,0.15,0.0,1.0986
tx_legit_000016,0,879.95,6.781,725,1,0,1,1,0,0,1,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
tx_legit_002163,0,253.37,5.5388,128,1,0,1,1,0,0,1,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
tx_legit_008285,0,1051.57,6.959,860,1,0,2,1,0,0,1,2,2,2,2,1,1,1,2,1,1,2,1,1,2,1,5,1,1,1,0,0,0.16,0.0,1.0986
tx_legit_013268,0,320.32,5.7724,488,1,0,1,2,0,0,1,2,2,2,0,1,1,1,1,2,1,1,2,1,1,2,1,5,1,0,1,0,0.15,0.0,1.0986
tx_legit_002023,0,468.94,6.1526,561,1,2,1,1,0,0,1,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
tx_legit_005874,0,251.77,5.5325,655,1,0,1,1,0,0,1,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
tx_legit_009119,0,703.72,6.5578,193,2,0,1,1,0,0,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
tx_fraud_000081,1,9748.44,9.185,14,4,1,1,1,0,0,1,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
tx_legit_010939,0,1237.38,7.1216,244,1,0,1,2,0,0,1,2,2,2,0,1,1,1,1,2,1,1,2,1,1,2,1,5,1,0,1,0,0.15,0.0,1.0986
tx_legit_006263,0,457.4,6.1277,21,1,0,1,3,0,0,1,2,4,2,0,1,1,1,1,3,1,1,3,1,1,3,1,9,1,0,1,0,0.18,0.0,1.3863
tx_legit_012164,0,301.66,5.7126,864,3,0,1,1,0,0,1,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
tx_legit_009678,0,560.23,6.3301,148,1,0,1,1,0,0,1,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
tx_legit_007312,0,866.57,6.7657,887,1,0,1,1,0,0,1,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
tx_legit_005391,0,591.14,6.3837,142,1,0,1,1,0,0,1,2,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
tx_legit_010609,0,320.84,5.7741,442,1,0,1,1,0,0,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
tx_legit_004741,0,574.15,6.3546,668,2,0,1,1,0,0,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
tx_fraud_000728,1,2452.11,7.8051,110,1,0,1,1,0,0,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
tx_legit_009344,0,163.4,5.1023,614,1,0,1,1,0,0,1,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
tx_legit_000284,0,628.02,6.4442,803,3,0,1,1,0,0,1,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
tx_fraud_000489,1,48010.86,10.7792,7,9,7,1,1,1,1,1,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
tx_legit_003668,0,940.04,6.847,421,1,1,1,1,0,0,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
tx_legit_003251,0,173.76,5.1634,768,3,0,1,1,0,0,1,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
tx_legit_009719,0,1265.04,7.1436,828,1,0,1,1,0,0,1,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
tx_legit_010995,0,562.76,6.3346,740,2,1,2,3,0,0,1,2,4,2,0,1,1,1,2,3,1,1,1,1,1,1,5,9,1,1,1,0,0.22,0.0,1.9459
tx_legit_011475,0,442.67,6.0951,993,1,0,1,2,0,0,1,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,7,1,0,1,0,0.15,0.0,1.0986
tx_legit_003263,0,81.9,4.4176,474,2,2,1,4,0,0,1,2,6,2,0,1,1,1,1,4,1,1,2,1,1,2,1,15,1,0,1,0,0.21,0.0,1.6094
tx_legit_010430,0,721.62,6.5829,22,2,0,1,1,0,0,1,2,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
tx_legit_000033,0,648.55,6.4763,931,2,1,1,1,0,0,1,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
tx_fraud_000129,1,11641.76,9.3624,7,4,3,2,1,1,0,2,2,2,2,0,1,1,1,2,1,2,1,1,2,1,1,5,1,9,1,0,1,0.21,0.0,1.0986
tx_legit_007528,0,208.4,5.3442,614,1,0,1,1,0,0,1,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
tx_legit_012306,0,938.76,6.8456,748,1,0,1,1,0,0,1,2,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
tx_fraud_000632,1,53283.96,10.8834,1,28,4,1,1,1,1,1,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
tx_legit_005562,0,292.87,5.6831,447,1,0,1,1,0,0,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
tx_legit_013693,0,829.84,6.7224,677,3,0,1,1,0,0,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
tx_legit_008578,0,585.88,6.3748,905,1,0,1,1,0,0,1,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
tx_fraud_001009,1,5856.79,8.6755,74,2,1,1,1,0,0,1,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
tx_legit_004559,0,237.12,5.4728,844,2,0,1,1,0,0,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
tx_legit_009098,0,534.14,6.2825,412,1,0,1,1,0,0,1,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
tx_legit_002528,0,237.08,5.4726,505,2,0,1,1,0,0,1,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
tx_legit_001294,0,167.74,5.1284,556,1,0,1,1,0,0,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
tx_legit_006665,0,481.9,6.1798,967,1,0,1,2,0,0,1,2,2,2,0,1,1,1,1,2,1,1,1,1,1,1,1,5,1,0,1,0,0.15,0.0,1.0986
tx_legit_001412,0,524.9,6.2651,970,1,0,1,1,0,0,1,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
tx_legit_009910,0,227.72,5.4325,529,2,0,1,1,0,0,1,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
tx_legit_007216,0,399.42,5.9925,324,1,0,1,1,0,0,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.12,0.0,0.6931
