transactionId,userId,merchantId,amount,currency,timestamp,deviceId,ipAddress,location,paymentMethodRef,accountAgeDays,velocity1h,failedTxCount24h,sharedDeviceAccountCount,sharedIpAccountCount,isFraud,fraudScenario
tx_legit_013572,usr_norm_1468,merch_razorpay_005,406.02,INR,2026-08-01T00:02:03+00:00,dev_fingerprint_0865,192.168.10.5,"Hyderabad, IN",pm_tok_synthetic_02511,956,2,0,1,16,0,LEGITIMATE_SHARED_INFRASTRUCTURE
tx_legit_003680,usr_norm_2237,merch_razorpay_059,319.81,INR,2026-08-01T00:03:44+00:00,dev_fingerprint_1347,192.168.130.155,"Chennai, IN",pm_tok_synthetic_01349,59,2,0,1,2,0,NONE
tx_legit_005992,usr_norm_0130,merch_razorpay_033,512.23,INR,2026-08-01T00:10:04+00:00,dev_fingerprint_1395,10.0.27.147,"Pune, IN",pm_tok_synthetic_00021,578,1,0,2,1,0,NONE
tx_legit_010693,usr_norm_0157,merch_razorpay_049,630.6,INR,2026-08-01T00:11:33+00:00,dev_fingerprint_1953,192.168.21.41,"Delhi, IN",pm_tok_synthetic_01236,611,2,0,1,1,0,NONE
tx_fraud_000028,usr_ringA_002,merch_razorpay_022,8266.24,INR,2026-08-01T00:11:41+00:00,dev_fraud_ringA_2,198.51.100.28,"Mumbai, IN",pm_tok_ringA_007,5,8,2,13,3,1,DEVICE_SHARING_RING
tx_legit_005228,usr_norm_0148,merch_razorpay_068,1375.69,INR,2026-08-01T00:11:44+00:00,dev_fingerprint_0381,192.168.10.8,"Hyderabad, IN",pm_tok_synthetic_03017,360,1,2,2,19,0,LEGITIMATE_SHARED_INFRASTRUCTURE
tx_fraud_000757,usr_lowslowF_001,merch_razorpay_029,2232.8,INR,2026-08-01T00:13:52+00:00,dev_lowslowF_3,198.51.100.51,"Chennai, IN",pm_tok_lowslowF_001,171,1,0,18,9,1,LOW_AND_SLOW_RING
tx_legit_001620,usr_norm_1663,merch_razorpay_028,323.92,INR,2026-08-01T00:15:33+00:00,dev_fingerprint_1359,192.168.10.1,"Bengaluru, IN",pm_tok_synthetic_00319,715,1,0,1,8,0,LEGITIMATE_SHARED_INFRASTRUCTURE
tx_fraud_000109,usr_ringA_008,merch_razorpay_068,4331.06,INR,2026-08-01T00:16:37+00:00,dev_fraud_ringA_3,198.51.100.56,"Chennai, IN",pm_tok_ringA_008,14,4,4,13,6,1,DEVICE_SHARING_RING
tx_legit_011386,usr_norm_0073,merch_razorpay_082,1095.88,INR,2026-08-01T00:17:33+00:00,dev_fingerprint_0398,192.168.23.81,"Pune, IN",pm_tok_synthetic_02266,310,1,0,1,2,0,NONE
tx_legit_006557,usr_norm_0974,merch_razorpay_048,193.16,INR,2026-08-01T00:21:48+00:00,dev_family_shared_024,192.168.171.136,"Delhi, IN",pm_tok_synthetic_02807,449,1,0,4,2,0,LEGITIMATE_SHARED_INFRASTRUCTURE
tx_legit_001307,usr_norm_1082,merch_razorpay_063,1212.23,INR,2026-08-01T00:22:31+00:00,dev_fingerprint_0414,192.168.228.59,"Chennai, IN",pm_tok_synthetic_02065,715,1,0,1,1,0,NONE
tx_legit_002736,usr_norm_0948,merch_razorpay_077,257.85,INR,2026-08-01T00:32:20+00:00,dev_fingerprint_1919,192.168.10.8,"Ahmedabad, IN",pm_tok_synthetic_00163,172,1,0,2,20,0,LEGITIMATE_SHARED_INFRASTRUCTURE
tx_legit_000016,usr_norm_1246,merch_razorpay_031,879.95,INR,2026-08-01T00:37:27+00:00,dev_fingerprint_1565,192.168.10.6,"Pune, IN",pm_tok_synthetic_03307,725,1,0,2,12,0,LEGITIMATE_SHARED_INFRASTRUCTURE
tx_legit_002163,usr_norm_1250,merch_razorpay_094,253.37,INR,2026-08-01T00:38:10+00:00,dev_fingerprint_0373,192.168.68.130,"Ahmedabad, IN",pm_tok_synthetic_01186,128,1,0,1,1,0,NONE
tx_legit_008285,usr_norm_0075,merch_razorpay_029,1051.57,INR,2026-08-01T00:39:37+00:00,dev_fingerprint_1565,10.0.173.38,"Kolkata, IN",pm_tok_synthetic_01145,860,1,0,1,1,0,NONE
tx_legit_013268,usr_norm_2172,merch_razorpay_098,320.32,INR,2026-08-01T00:40:23+00:00,dev_fingerprint_1283,192.168.10.1,"Hyderabad, IN",pm_tok_synthetic_00364,488,1,0,2,21,0,LEGITIMATE_SHARED_INFRASTRUCTURE
tx_legit_002023,usr_norm_0241,merch_razorpay_050,468.94,INR,2026-08-01T00:41:47+00:00,dev_fingerprint_0579,192.168.10.2,"Ahmedabad, IN",pm_tok_synthetic_01909,561,1,2,1,11,0,LEGITIMATE_SHARED_INFRASTRUCTURE
tx_legit_005874,usr_norm_1327,merch_razorpay_020,251.77,INR,2026-08-01T00:43:35+00:00,dev_fingerprint_1345,192.168.98.72,"Hyderabad, IN",pm_tok_synthetic_02334,655,1,0,1,1,0,NONE
tx_legit_009119,usr_norm_0016,merch_razorpay_077,703.72,INR,2026-08-01T00:49:31+00:00,dev_fingerprint_1899,192.168.17.184,"Bengaluru, IN",pm_tok_synthetic_02612,193,2,0,1,2,0,NONE
tx_fraud_000081,usr_ringA_005,merch_razorpay_044,9748.44,INR,2026-08-01T00:51:51+00:00,dev_fraud_ringA_0,198.51.100.19,"Mumbai, IN",pm_tok_ringA_000,14,4,1,18,6,1,DEVICE_SHARING_RING
tx_legit_010939,usr_norm_0017,merch_razorpay_083,1237.38,INR,2026-08-01T00:52:21+00:00,dev_fingerprint_1625,192.168.10.5,"Ahmedabad, IN",pm_tok_synthetic_02083,244,1,0,1,15,0,LEGITIMATE_SHARED_INFRASTRUCTURE
tx_legit_006263,usr_norm_0985,merch_razorpay_034,457.4,INR,2026-08-01T00:54:16+00:00,dev_fingerprint_1378,192.168.10.5,"Kolkata, IN",pm_tok_synthetic_02190,21,1,0,1,15,0,LEGITIMATE_SHARED_INFRASTRUCTURE
tx_legit_012164,usr_norm_0229,merch_razorpay_016,301.66,INR,2026-08-01T01:11:51+00:00,dev_fingerprint_0189,192.168.14.248,"Chennai, IN",pm_tok_synthetic_02967,864,3,0,1,2,0,NONE
tx_legit_009678,usr_norm_1983,merch_razorpay_087,560.23,INR,2026-08-01T01:19:50+00:00,dev_fingerprint_0629,192.168.226.18,"Ahmedabad, IN",pm_tok_synthetic_00859,148,1,0,1,2,0,NONE
tx_legit_007312,usr_norm_0450,merch_razorpay_074,866.57,INR,2026-08-01T01:20:08+00:00,dev_fingerprint_1183,192.168.10.4,"Delhi, IN",pm_tok_synthetic_02318,887,1,0,2,15,0,LEGITIMATE_SHARED_INFRASTRUCTURE
tx_legit_005391,usr_norm_2499,merch_razorpay_029,591.14,INR,2026-08-01T01:30:03+00:00,dev_fingerprint_1572,192.168.209.165,"Mumbai, IN",pm_tok_synthetic_00034,142,1,0,1,2,0,NONE
tx_legit_010609,usr_norm_1832,merch_razorpay_083,320.84,INR,2026-08-01T01:38:21+00:00,dev_fingerprint_2145,192.168.112.5,"Kolkata, IN",pm_tok_synthetic_00020,442,1,0,1,2,0,NONE
tx_legit_004741,usr_norm_0354,merch_razorpay_082,574.15,INR,2026-08-01T01:44:05+00:00,dev_fingerprint_1436,192.168.27.148,"Pune, IN",pm_tok_synthetic_02432,668,2,0,1,1,0,NONE
tx_fraud_000728,usr_lowslowF_002,merch_razorpay_033,2452.11,INR,2026-08-01T01:46:54+00:00,dev_lowslowF_2,198.51.100.52,"Hyderabad, IN",pm_tok_lowslowF_002,110,1,0,12,14,1,LOW_AND_SLOW_RING
tx_legit_009344,usr_norm_2842,merch_razorpay_096,163.4,INR,2026-08-01T01:57:44+00:00,dev_fingerprint_2067,10.0.192.162,"Kolkata, IN",pm_tok_synthetic_00121,614,1,0,1,1,0,NONE
tx_legit_000284,usr_norm_2651,merch_razorpay_071,628.02,INR,2026-08-01T02:00:51+00:00,dev_fingerprint_0641,192.168.241.98,"Mumbai, IN",pm_tok_synthetic_01756,803,3,0,1,1,0,NONE
tx_fraud_000489,usr_anomD_089,merch_razorpay_093,48010.86,INR,2026-08-01T02:13:14+00:00,dev_anomD_089,192.0.2.113,VPN Exit Node,pm_tok_anomD_089,7,9,7,1,1,1,BEHAVIORAL_ANOMALY
tx_legit_003668,usr_norm_1218,merch_razorpay_005,940.04,INR,2026-08-01T02:14:55+00:00,dev_fingerprint_0110,192.168.240.175,"Bengaluru, IN",pm_tok_synthetic_01271,421,1,1,1,1,0,NONE
tx_legit_003251,usr_norm_2013,merch_razorpay_036,173.76,INR,2026-08-01T02:15:25+00:00,dev_fingerprint_0580,192.168.87.206,"Delhi, IN",pm_tok_synthetic_02459,768,3,0,1,1,0,NONE
tx_legit_009719,usr_norm_1076,merch_razorpay_041,1265.04,INR,2026-08-01T02:15:37+00:00,dev_fingerprint_0841,192.168.10.3,"Pune, IN",pm_tok_synthetic_00584,828,1,0,2,14,0,LEGITIMATE_SHARED_INFRASTRUCTURE
tx_legit_010995,usr_norm_1894,merch_razorpay_009,562.76,INR,2026-08-01T02:19:33+00:00,dev_fingerprint_0373,192.168.10.8,"Delhi, IN",pm_tok_synthetic_03437,740,2,1,1,18,0,LEGITIMATE_SHARED_INFRASTRUCTURE
tx_legit_011475,usr_norm_2678,merch_razorpay_098,442.67,INR,2026-08-01T02:19:50+00:00,dev_fingerprint_0979,192.168.10.6,"Mumbai, IN",pm_tok_synthetic_01593,993,1,0,2,16,0,LEGITIMATE_SHARED_INFRASTRUCTURE
tx_legit_003263,usr_norm_2313,merch_razorpay_002,81.9,INR,2026-08-01T02:21:25+00:00,dev_fingerprint_1922,192.168.10.8,"Pune, IN",pm_tok_synthetic_01420,474,2,2,1,15,0,LEGITIMATE_SHARED_INFRASTRUCTURE
tx_legit_010430,usr_norm_0972,merch_razorpay_068,721.62,INR,2026-08-01T02:22:25+00:00,dev_fingerprint_1989,192.168.40.169,"Ahmedabad, IN",pm_tok_synthetic_02184,22,2,0,1,4,0,NONE
tx_legit_000033,usr_norm_0742,merch_razorpay_013,648.55,INR,2026-08-01T02:32:18+00:00,dev_fingerprint_1316,192.168.93.163,"Chennai, IN",pm_tok_synthetic_01735,931,2,1,1,2,0,NONE
tx_fraud_000129,usr_ringA_003,merch_razorpay_084,11641.76,INR,2026-08-01T02:34:32+00:00,dev_fraud_ringA_3,198.51.100.71,"Delhi, IN",pm_tok_ringA_008,7,4,3,8,2,1,DEVICE_SHARING_RING
tx_legit_007528,usr_norm_2478,merch_razorpay_019,208.4,INR,2026-08-01T02:40:24+00:00,dev_fingerprint_2010,192.168.135.24,"Pune, IN",pm_tok_synthetic_00871,614,1,0,1,1,0,NONE
tx_legit_012306,usr_norm_2910,merch_razorpay_005,938.76,INR,2026-08-01T02:42:14+00:00,dev_fingerprint_0682,192.168.105.250,"Ahmedabad, IN",pm_tok_synthetic_03391,748,1,0,1,5,0,NONE
tx_fraud_000632,usr_combE_019,merch_razorpay_088,53283.96,INR,2026-08-01T02:42:27+00:00,dev_combE_0,203.0.113.201,Tor Exit Node,pm_tok_combE_0,1,28,4,22,38,1,COMBINED_RING
tx_legit_005562,usr_norm_2296,merch_razorpay_093,292.87,INR,2026-08-01T02:43:19+00:00,dev_fingerprint_0949,10.0.177.58,"Chennai, IN",pm_tok_synthetic_01941,447,1,0,1,1,0,NONE
tx_legit_013693,usr_norm_2248,merch_razorpay_022,829.84,INR,2026-08-01T02:43:20+00:00,dev_fingerprint_1596,192.168.26.135,"Hyderabad, IN",pm_tok_synthetic_01167,677,3,0,1,4,0,NONE
tx_legit_008578,usr_norm_2859,merch_razorpay_069,585.88,INR,2026-08-01T02:46:13+00:00,dev_fingerprint_1266,192.168.22.135,"Delhi, IN",pm_tok_synthetic_02698,905,1,0,1,1,0,NONE
tx_fraud_001009,usr_borderlineH_017,merch_razorpay_052,5856.79,INR,2026-08-01T02:48:53+00:00,dev_borderlineH_2,198.51.100.22,"Kolkata, IN",pm_tok_borderlineH_007,74,2,1,8,11,1,BORDERLINE_TRANSACTIONS
tx_legit_004559,usr_norm_2198,merch_razorpay_013,237.12,INR,2026-08-01T02:50:11+00:00,dev_fingerprint_1225,192.168.95.112,"Mumbai, IN",pm_tok_synthetic_03064,844,2,0,1,3,0,NONE
tx_legit_009098,usr_norm_0693,merch_razorpay_010,534.14,INR,2026-08-01T02:55:34+00:00,dev_fingerprint_1653,10.0.168.79,"Chennai, IN",pm_tok_synthetic_00356,412,1,0,1,1,0,NONE
tx_legit_002528,usr_norm_0023,merch_razorpay_024,237.08,INR,2026-08-01T02:56:32+00:00,dev_fingerprint_0815,192.168.76.83,"Kolkata, IN",pm_tok_synthetic_02944,505,2,0,1,1,0,NONE
tx_legit_001294,usr_norm_2999,merch_razorpay_059,167.74,INR,2026-08-01T03:00:36+00:00,dev_fingerprint_2338,192.168.164.153,"Kolkata, IN",pm_tok_synthetic_00391,556,1,0,1,4,0,NONE
tx_legit_006665,usr_norm_0891,merch_razorpay_080,481.9,INR,2026-08-01T03:01:09+00:00,dev_fingerprint_0401,192.168.241.98,"Mumbai, IN",pm_tok_synthetic_00494,967,1,0,1,1,0,NONE
tx_legit_001412,usr_norm_1932,merch_razorpay_045,524.9,INR,2026-08-01T03:06:36+00:00,dev_fingerprint_1075,192.168.19.176,"Chennai, IN",pm_tok_synthetic_00270,970,1,0,1,1,0,NONE
tx_legit_009910,usr_norm_0684,merch_razorpay_092,227.72,INR,2026-08-01T03:11:07+00:00,dev_family_shared_026,192.168.133.69,"Ahmedabad, IN",pm_tok_synthetic_00142,529,2,0,6,2,0,LEGITIMATE_SHARED_INFRASTRUCTURE
tx_legit_007216,usr_norm_0456,merch_razorpay_041,399.42,INR,2026-08-01T03:12:55+00:00,dev_fingerprint_1862,192.168.35.68,"Kolkata, IN",pm_tok_synthetic_02662,324,1,0,2,4,0,NONE
tx_fraud_000672,usr_lowslowF_006,merch_razorpay_091,1020.93,INR,2026-08-01T03:13:43+00:00,dev_lowslowF_2,198.51.100.51,"Bengaluru, IN",pm_tok_lowslowF_006,255,1,0,30,9,1,LOW_AND_SLOW_RING
tx_legit_005925,usr_norm_2627,merch_razorpay_031,616.21,INR,2026-08-01T03:18:30+00:00,dev_fingerprint_1049,10.0.193.236,"Kolkata, IN",pm_tok_synthetic_01377,451,4,0,1,1,0,NONE
tx_legit_005554,usr_norm_2397,merch_razorpay_013,782.55,INR,2026-08-01T03:18:39+00:00,dev_family_shared_015,192.168.84.87,"Bengaluru, IN",pm_tok_synthetic_00431,350,1,0,6,1,0,LEGITIMATE_SHARED_INFRASTRUCTURE
tx_legit_000581,usr_norm_1983,merch_razorpay_096,1784.95,INR,2026-08-01T03:19:20+00:00,dev_fingerprint_2033,192.168.226.18,"Mumbai, IN",pm_tok_synthetic_00859,148,2,0,1,1,0,NONE
tx_legit_000617,usr_norm_0540,merch_razorpay_005,420.88,INR,2026-08-01T03:21:45+00:00,dev_fingerprint_1589,192.168.10.9,"Pune, IN",pm_tok_synthetic_03000,937,2,0,2,13,0,LEGITIMATE_SHARED_INFRASTRUCTURE
tx_legit_012585,usr_norm_2728,merch_razorpay_051,266.59,INR,2026-08-01T03:26:56+00:00,dev_fingerprint_0772,192.168.122.157,"Kolkata, IN",pm_tok_synthetic_01022,398,2,0,1,1,0,NONE
tx_legit_013752,usr_norm_0549,merch_razorpay_011,356.32,INR,2026-08-01T03:31:40+00:00,dev_fingerprint_0573,192.168.64.224,"Kolkata, IN",pm_tok_synthetic_00179,958,1,0,1,1,0,NONE
tx_legit_007488,usr_norm_0795,merch_razorpay_087,359.25,INR,2026-08-01T03:35:48+00:00,dev_fingerprint_0705,192.168.223.193,"Kolkata, IN",pm_tok_synthetic_00528,120,1,0,1,4,0,NONE
tx_legit_012707,usr_norm_2579,merch_razorpay_062,406.63,INR,2026-08-01T03:45:01+00:00,dev_fingerprint_1616,192.168.131.127,"Delhi, IN",pm_tok_synthetic_02031,239,1,0,1,2,0,NONE
tx_legit_001475,usr_norm_1851,merch_razorpay_074,195.99,INR,2026-08-01T03:47:57+00:00,dev_fingerprint_2120,192.168.193.221,"Hyderabad, IN",pm_tok_synthetic_02957,716,1,1,1,2,0,NONE
tx_legit_008042,usr_norm_2494,merch_razorpay_002,476.23,INR,2026-08-01T03:50:20+00:00,dev_fingerprint_1612,192.168.62.80,"Chennai, IN",pm_tok_synthetic_02667,94,1,0,1,1,0,NONE
tx_legit_010920,usr_norm_2443,merch_razorpay_062,282.51,INR,2026-08-01T03:53:18+00:00,dev_fingerprint_1089,192.168.190.189,"Hyderabad, IN",pm_tok_synthetic_00077,296,1,0,1,1,0,NONE
tx_legit_009827,usr_norm_0106,merch_razorpay_017,201.47,INR,2026-08-01T03:54:44+00:00,dev_fingerprint_1356,192.168.10.2,"Pune, IN",pm_tok_synthetic_02152,400,1,0,2,9,0,LEGITIMATE_SHARED_INFRASTRUCTURE
